	BB22.10A	BB22.10AL	BB22.10AS	BB22.10ASL	BB22.11A	BB22.11AL	BB22.11AS	BB22.11ASL	BB22.12A	BB22.12AL	BB22.12AS	BB22.12ASL	BB22.13A	BB22.13AL	BB22.13AS	BB22.13ASL	BB22.14A	BB22.14AL	BB22.14AS	BB22.14ASL	BB22.15A	BB22.15AL	BB22.15AS	BB22.15ASL	BB22.16A	BB22.16AL	BB22.16AS	BB22.16ASL	BB22.1A	BB22.1AL	BB22.1AS	BB22.1ASL	BB22.2A	BB22.2AL	BB22.2AS	BB22.2ASL	BB22.3A	BB22.3AL	BB22.3AS	BB22.3ASL	BB22.4A	BB22.4AL	BB22.4AS	BB22.4ASL	BB22.5A	BB22.5AL	BB22.5AS	BB22.5ASL	BB22.6A	BB22.6AL	BB22.6AS	BB22.6ASL	BB22.7A	BB22.7AL	BB22.7AS	BB22.7ASL	BB22.8A	BB22.8AL	BB22.8AS	BB22.8ASL	BB22.9A	BB22.9AL	BB22.9AS	BB22.9ASL
BB22.1AS	112.76892008188251	113.44208480931957	99.81908420526301	100.78812068522127	113.09056456390041	115.27515150232492	103.73413436572137	104.4035863755183	109.45576464836175	113.75227873065101	112.40197352895278	111.78128939911576	115.5689583934881	129.11606635145037	113.157276721847	118.74150552676664	109.76080638146007	116.16012201193102	107.65299826558723	108.56279425690445	115.48638271427775	130.1905900605787	114.82199943279207	119.27268518360614	111.4686137253245	122.02675277717272	119.4412703019423	119.50091787614743	84.84882982587824	125.13099264350608	0.0	53.59774625297876	90.6631776065997	113.90279705540223	81.02163310296379	83.4386607076989	85.69510955157523	108.84245699647423	82.46789440013025	81.3564911362157	95.42627900936209	110.34703424321017	91.15055799323811	89.27988781008361	100.48626716448385	117.85911516599458	103.44474463156705	104.37553906492904	102.95997870988703	116.33304987148067	94.48201918961854	97.8202335380686	101.3133959299502	112.70003560096603	99.8879511480154	100.08449752325284	97.44867486459586	111.4285773088588	97.18144782550957	96.20515138558227	100.8542371615619	119.56687865518398	100.19622335224116	107.39582288804785
BB22.1ASL	114.48312311694546	110.23380010903486	105.64319919434173	103.18712656098772	114.7657334589042	111.77317703423053	108.82182289993973	106.71853199806311	111.11148897978674	112.16210133869794	115.87860240143462	114.40624741019379	116.43003622904325	124.9880178591295	117.99985684568202	120.14317872886006	111.51541004068956	114.13722917214815	111.54256088084855	109.36175579261108	118.81184973110568	125.36071173379977	119.01074008792985	119.79662028638602	114.46463350814884	120.3040013693688	125.44376424890491	123.22513596551	87.15952389118254	90.12304654245786	53.59774625297876	0.0	91.91225411383188	106.15999650840239	91.3310092293405	85.97272898760718	89.37339132904096	108.54743147421979	90.74453620210748	88.71455235747769	99.38940835947236	109.23717457884726	99.84176286682333	96.00298032894966	102.82324444950048	113.62171878924376	109.38465599209269	106.56135467286519	108.10802981151546	111.94721415356223	102.48079470211785	100.83671524768828	106.1053403844858	110.19410480110511	107.36816307977585	104.35071242955866	100.32925824552345	111.08906739431796	103.74729251815363	101.7153270613344	103.39643657411702	112.92700585787276	104.38317843695464	103.80919301699333
BB22.2A	113.18579145734081	108.71285064742655	101.59625468874852	99.73915838553569	113.63501825993545	110.76179341272434	104.7896402761474	103.00976991099134	106.1727536677187	110.8774783816765	110.31728213967216	109.03466249758041	110.28788436564137	123.75479460845321	114.1292234920235	117.30312149851066	107.68077772623009	112.06141458663087	107.51687139373048	105.15817357746208	114.08839477031586	125.52137830011743	114.52239307966754	116.58480157259325	110.49837697225578	118.8404301099139	121.12039524310069	119.48228605301352	87.06704606503719	116.7377056534374	90.6631776065997	91.91225411383188	0.0	100.30381363510503	81.15835653599999	76.86123561623356	82.11767912230263	106.57735261658021	86.20428346724918	84.07182982331325	90.80541843059325	106.5781758144777	97.48600128565613	92.91435787860955	95.00347094038172	112.21981627494789	100.64914077464597	99.08075238396022	102.97241544670207	109.43237903639385	96.65211344059975	95.0269710854634	98.51336881159376	107.67941854642102	99.93041178289937	96.90847258697775	95.21382796521328	109.72439811689499	98.93411625439741	97.15444041915629	100.45919913162459	112.97775924004928	100.3019850839073	101.75796915204567
BB22.2AL	81.52012201832095	76.74848360956145	101.14298389091658	96.47360017814954	81.7702897974004	77.41566247392474	103.69224673753718	99.14584913233806	90.74337279026321	78.49196123085231	106.89403706341139	104.57533944700107	102.09994920502592	94.35055739918113	113.28679320278543	112.41718108061129	91.41423809231391	79.75350823344858	93.47303438786338	87.4120768494935	107.32999705969773	92.66947154961227	111.19075871664627	109.54083041726831	96.21693346143242	88.2886956886874	120.3055410035007	114.81177956208792	111.05022702182552	88.7967075276494	113.90279705540223	106.15999650840239	100.30381363510503	0.0	110.1879612242676	93.30797846705563	94.71487065617362	71.30834281481559	104.47685886809172	100.08650837849129	110.36197991955709	70.54267337731488	118.58979679247456	111.93476785013677	91.20268239261932	76.33340931859313	111.86673426847557	105.84245012122273	118.79533410720838	74.14675261907962	110.33427813836609	103.38367098551967	107.67364437319361	75.15493559738509	110.27234035056912	103.61331436825392	92.35303096496891	75.97589630058587	103.5849875266859	99.86560240234571	86.451798732207	79.17260476061271	87.76196393602318	83.54578650748282
BB22.2AS	113.82876518150898	114.1740616869636	100.26108724745323	101.31012776379754	114.26382414051855	115.72294939556217	104.38482272265746	104.58105043841371	109.20001057015165	114.7398851936121	111.74275358415089	111.15216436016715	114.17931802942813	128.82162439569052	111.94071470204928	117.45727576500627	109.992214316894	116.97873426123196	107.7103550218533	108.3192658429222	114.17677005831652	131.3193765222915	113.69521213376608	118.06443919877054	111.69513131355176	122.70617510322758	118.7437665147115	119.01195560093515	85.11824181375786	127.67387172255458	81.02163310296379	91.3310092293405	81.15835653599999	110.1879612242676	0.0	32.84922055111366	82.69498317641893	110.00990151220722	79.39508439040056	78.47928733542513	87.93920123330828	111.02328497774066	87.48889342143674	85.24594548331605	98.87173731523791	118.7207143294092	100.32451774636051	101.88528910349714	99.96861275807407	115.76639171379234	90.37886599046483	93.38215832276491	99.05627738276377	112.83872628039735	96.51452506159086	96.85201615897809	96.61584709276173	112.55710092840069	93.5687367036438	93.05516500702937	100.38163314319888	120.11021534698614	100.36579899911696	107.33677030973077
BB22.2ASL	112.14628913456288	109.69679580262604	100.28462152415044	99.437457604778	112.51468250869425	111.47785811010122	104.1591958958503	102.92338882793292	106.90210537616063	111.43048807323035	111.01781394795034	109.9172658811469	111.85533527742949	124.3095478436831	111.7991464582914	115.36422423795452	107.65548847658013	112.87748648514253	106.77865440450282	105.40415434985128	112.9504444702358	126.54995910043831	112.94846814092506	115.77863786038542	110.14630735557446	119.08540631827347	118.80376220219922	117.90371310587025	82.6196142726522	118.4265716021842	83.4386607076989	85.97272898760718	76.86123561623356	93.30797846705563	32.84922055111366	0.0	80.12338664890767	106.57698247327772	80.41928852986372	78.82580293846902	86.2837302671611	107.01276292279036	89.40782479048674	85.51795917393439	97.5774346806663	112.71751870643934	101.22113376620578	100.12921433320636	99.16746752214972	109.2333153245638	92.14251198319491	91.01919303417243	98.6691043342015	108.2907959634987	97.79947096577304	95.81835412030485	95.10021821872836	109.26483822528535	94.79552824601085	93.2500940279007	99.34870557756022	114.14708908432372	99.59852873338451	102.66814113938797
BB22.3A	95.16373790219849	91.15184331047135	79.38695405419182	77.42327556113301	95.49214622818411	93.44609915720845	83.94885664286427	82.47719590760168	85.40397037144231	93.09978716594247	90.91197213905981	89.36593816887476	92.26746198235016	106.64502779604433	90.8128632414545	94.42925967074052	87.86351600801203	96.00512235155135	85.50354394991633	85.41266244549641	95.9114164129791	111.86573392588136	94.83779003970412	98.48755859112532	89.19903586533394	102.1213369020213	99.54575626993686	98.53702439595254	88.18580886968319	112.76986550325725	85.69510955157523	89.37339132904096	82.11767912230263	94.71487065617362	82.69498317641893	80.12338664890767	0.0	87.51998238275227	63.84373147690574	61.01006750044944	76.99363914958577	87.4230526537065	79.81120844226871	73.97998584959508	81.38600365063235	100.40550936630034	85.4470763301073	84.86154476480742	88.5179612086787	94.11951091121075	74.73438260940242	74.05791853308253	79.97141034365582	91.46851989008928	80.92009910649843	78.06164209951481	71.86488197712288	91.27476814100554	73.07437384123841	70.8884715969809	79.48316673254126	99.0521480667553	79.81030089137968	84.47746288123967
BB22.3AL	38.37545136546573	52.24925027583898	84.02259987297056	80.79320015101815	38.5997160067979	51.18835905307472	88.33733101738896	85.22503458759313	69.53921647822327	44.68564227986801	91.57540541959952	88.83590312801367	86.97229210122413	75.73371798732923	97.27342968029384	98.9221697818562	71.67693755622578	48.213992919342445	71.62849532309386	67.1582278227363	91.96312831202478	75.37020189450251	96.78147296589833	97.5665675010616	73.77972121211126	63.02028064887811	106.26994274819597	100.23691952527884	112.10360613014946	99.11025788960072	108.84245699647423	108.54743147421979	106.57735261658021	71.30834281481559	110.00990151220722	106.57698247327772	87.51998238275227	0.0	94.65500948049598	88.1104533556822	107.24125824008037	34.911011358141195	112.40734865202083	105.7539817092206	77.12690843871195	65.43883836271546	100.09780807747534	97.10684742819963	111.29054955763526	63.38984297929552	97.52929102932126	94.56503302771313	96.5864715815234	53.459549074413715	97.00641038875611	92.04665941498979	74.39752561064867	34.5933463700964	87.74278335275237	83.35520494807199	63.280711615290016	62.290328266523865	62.06121158026221	66.65588841511348
BB22.3AS	100.60704030945685	98.13483479656728	79.68290510620409	79.81561917619155	100.92304529277051	99.99971474984852	84.43548606915627	84.04515561293377	90.46211924798915	99.72138269824318	92.00269476516448	90.82028360291042	94.82417846666817	112.39211680263205	91.53721222776318	96.69093827344832	90.12185041171217	101.73906657315196	88.51144469648465	88.92050259058426	96.09875676961265	116.18842105007427	94.4692214684652	98.93710965780474	92.74182910105067	107.21561204099525	99.16744493189088	99.22644667103812	88.98556824561199	121.24451920462577	82.46789440013025	90.74453620210748	86.20428346724918	104.47685886809172	79.39508439040056	80.41928852986372	63.84373147690574	94.65500948049598	0.0	12.11808549065133	75.70768478111623	96.60363296966814	73.86477861866267	70.54644767350254	85.23839683483244	106.55366562336067	86.6727880761199	87.74774634627482	85.02045350028253	101.67963221076683	73.31947713466728	76.5911109180156	82.89884494770521	97.79404277518135	77.78048771652854	77.05983292264006	75.67439039407826	97.62544925913411	76.02629060652171	74.50115071199036	83.32875993260932	105.5751310541656	83.70915571473083	90.25916435614967
BB22.3ASL	96.02398884673272	93.8248283758452	77.29564623130345	77.04000938536898	96.33926388479243	95.73469308904033	82.18946560359713	81.53511927369686	87.02846401908134	95.36981953505813	89.75162394297485	88.43101630645145	91.95929761412725	108.77222308791261	89.61184250975857	94.59182843432693	86.82860852356752	97.28415661221412	85.07345349585276	85.16222369187354	93.72099247546765	112.52252907746052	92.41951110675019	96.71098114898318	89.4940899196265	103.38237505778015	97.55551841755845	97.25906062778381	87.45672803760158	117.55503710978142	81.3564911362157	88.71455235747769	84.07182982331325	100.08650837849129	78.47928733542513	78.82580293846902	61.01006750044944	88.1104533556822	12.11808549065133	0.0	74.03709484652332	91.5694657359349	73.09841249388508	69.1211175520761	82.32502683596887	102.4746962039507	85.20586342398848	85.78284830007837	83.96100923927477	97.22585715173992	72.12976746099044	74.38865281211761	81.28247165710575	93.52024603771942	76.3945331524433	75.15130493156508	72.50376291533397	93.02290253883346	73.88429705063344	72.10201839263391	79.55373808881879	101.40075252195233	79.93749546404973	86.43193559483099
BB22.4A	113.34036569210198	109.21019054082834	94.78572143754185	93.56686994190618	113.58369842718659	111.20514036137457	97.59613070489375	96.3037798538214	103.02631798566279	110.68158703048563	104.07272721622545	103.13831851322814	105.89875516095837	121.0837985121703	100.22291737460341	104.1662488882377	104.08787580165205	113.00185365948396	102.36511415525582	101.74788807173188	109.11961573740355	127.54958277408828	107.45628824492172	110.88621702302468	106.37100474452703	118.61131924583508	111.22727856775842	110.51404602037327	100.31439024787167	127.11363735167147	95.42627900936209	99.38940835947236	90.80541843059325	110.36197991955709	87.93920123330828	86.2837302671611	76.99363914958577	107.24125824008037	75.70768478111623	74.03709484652332	0.0	106.13861177277857	76.00514092260819	71.26287120821199	99.8029214657903	116.75730231227386	99.9464624003078	99.74130713850043	85.86386204162851	110.11662207486891	81.91072168772102	81.59316572396196	90.67725922783801	109.24445163732399	91.99325882605882	90.3743098801023	87.69369004042919	109.53084658472419	86.30953443068356	84.90575078074838	96.46090889901228	113.49218913842948	97.30248314752392	99.07716284454325
BB22.4AL	43.08481668533689	51.39726311526745	85.51310027285007	81.46807865336234	43.623192314899676	51.67927665305686	89.47649751376898	85.89181131565651	70.7587258508924	49.02189840513022	92.91151420071073	90.30716301223757	88.46510542115514	75.35406578481833	98.79072017001822	99.01967816695006	74.31005797445712	51.87906974665611	73.91704339976226	69.71468492539185	93.91176254512686	77.50014447124049	98.83734598252474	99.80973750395776	77.06244898337587	65.75736857262211	108.17227789276426	102.17370407798867	111.64802618939734	98.75451903574871	110.34703424321017	109.23717457884726	106.5781758144777	70.54267337731488	111.02328497774066	107.01276292279036	87.4230526537065	34.911011358141195	96.60363296966814	91.5694657359349	106.13861177277857	0.0	113.98874160741462	104.72317678771654	78.14242053912382	65.49970126128365	101.43237862784414	97.88710802723622	110.58960774779453	62.90484103688392	99.23529701316662	95.3066288318354	96.85939203218179	54.39754086165711	98.49453523695071	92.51964493725376	76.20535937911937	38.20793183621171	89.33567490842181	84.83255450516243	65.01967965540345	60.85901530991523	64.81738168387835	66.53034070895356
BB22.4AS	118.04536453933274	115.01691307193603	94.68764712698761	95.10405138415247	118.31579810560343	116.19763920458634	97.83685987337874	97.56645574124362	105.85931181877713	116.22974885793997	103.4366926192112	102.89312610586903	108.70699903289731	127.24502101593737	101.60063120706359	107.13270368314885	106.14040220384362	117.91015311892608	104.77972725895707	105.05855084610053	110.12218627035075	131.6160021224232	107.09496574730316	111.80232980573135	107.00378761974585	123.39192769222998	110.36624074972522	111.47595488612923	98.1917196328314	132.67739854200948	91.15055799323811	99.84176286682333	97.48600128565613	118.58979679247456	87.48889342143674	89.40782479048674	79.81120844226871	112.40734865202083	73.86477861866267	73.09841249388508	76.00514092260819	113.98874160741462	0.0	17.959386704427196	101.83051103316821	121.27445206248633	99.94567705245332	101.00279779052325	85.89879249740109	117.1638796186632	83.35097406695691	86.85458063107646	92.56122363644623	115.08761874766847	90.56632933300695	90.6722501515065	92.67960485884774	115.00616432286893	85.9584566264003	85.5003453959784	99.8110470306181	120.35097735843475	99.7877803425353	104.87107175526461
BB22.4ASL	112.04515812543042	107.42756488116532	89.85468392510109	88.91398646422714	112.31499213991098	109.23151839972797	93.02211458518558	91.99837423691176	100.0017541851867	109.80699959641352	99.05012504534204	98.28980717577353	103.54413018541365	120.24680999606741	97.85740540606221	101.87627609130854	101.06994357645047	111.55035964132708	99.80464755154946	99.38529289297178	105.88451059437737	126.25219012012607	103.26375969085983	107.78108972550538	102.16865815868911	117.70801949826674	107.31645734778593	107.75872565212134	94.41086939439329	127.08521378276124	89.27988781008361	96.00298032894966	92.91435787860955	111.93476785013677	85.24594548331605	85.51795917393439	73.97998584959508	105.7539817092206	70.54644767350254	69.1211175520761	71.26287120821199	104.72317678771654	17.959386704427196	0.0	96.64799701454655	114.88329622234129	96.46310597765631	96.65544069071784	81.55876340172465	109.84099000787478	80.21574067384725	81.64042094639981	87.973097073804	108.01387339070848	86.98886710072061	85.57096959864296	86.71619336312379	108.45967860092557	82.1090330556383	81.05605803953678	93.97793054620445	112.8062553198525	94.26918993477814	97.62063454348554
BB22.5A	78.67640652655349	79.73722132811889	73.22373865331288	73.58860771895952	79.10517248303859	81.6774919591718	80.252505077604	79.58759706257403	74.60117937281557	80.67016976984031	86.99842460716124	85.53095978745655	85.47121899471011	98.16932438077647	93.96162311832158	97.96423039828908	78.55115923063451	81.8755590139974	78.13086131372695	76.48381552267723	91.09881151037823	99.24386601886486	91.65630406462881	93.99609620948621	81.50140901724218	91.68267819146388	101.08341457599741	99.06716246963218	101.33749084243513	109.52135748192568	100.48626716448385	102.82324444950048	95.00347094038172	91.20268239261932	98.87173731523791	97.5774346806663	81.38600365063235	77.12690843871195	85.23839683483244	82.32502683596887	99.8029214657903	78.14242053912382	101.83051103316821	96.64799701454655	0.0	82.845922041698	74.3152598741083	74.27538086121417	92.07847069943905	85.20424332097764	81.25259159660602	82.15775974690592	75.66801804330339	77.20736629545704	77.546037566971	74.91073442862331	68.56381023495211	76.21519715562323	76.6168967307819	73.81727843149504	65.07957263234438	86.76855595122163	65.45864787996913	73.81514046291774
