feature_id,L30,S30,W30,feature_frequency
0e46659798f4871df8791ea441a88a9c,1.0,1.0,1.0,2734.0
0e52b5cc204db7d0512a2bb9fbc74d35,0.0,1.0,1.0,299.0
0e661acd36ecbab6c2a142180f37e27d,0.0,0.0,1.0,2.0
0e775fc1584ed21db02c44461c5e120e,0.0,1.0,0.0,683.0
0e80a784681f2dfe7b4eb664685e24bc,0.0,1.0,1.0,155.0
0ed26b2927205b2486301122fa28645b,0.0,1.0,1.0,160.0
0ed2b81fc8ed6c7519c1fc4bf4fd8d9c,1.0,0.0,0.0,2.0
0f122c1a39df251685b123778bbc0668,0.0,1.0,0.0,2.0
0f1363e179a5c586d8ea68dfb8a8fc55,0.0,0.0,1.0,268.0
0f2551eb7c43e82c8bd59d9e51a5aadf,0.0,1.0,1.0,221.0
0f46e772c2339f3b77c08d933182975e,0.0,1.0,1.0,3858.0
0f58eabcbe9755b8bf2497c803b66825,0.0,1.0,1.0,55.0
0f884dfb9df92cf2aad15aecedfe400a,1.0,1.0,1.0,1224.0
0f90b77a10e5cae78cfc235d73e3baf4,1.0,1.0,1.0,414.0
0f9c516a82ac12504c4d599be2a2b0cc,1.0,1.0,1.0,9495.0
0fd0b8679953d1e68a5903b6c7983651,0.0,0.0,1.0,2.0
100f67ec9afaca41703dd6a451336bbc,1.0,0.0,0.0,3.0
103230043f86602e081641cfe4ca6b79,1.0,1.0,0.0,20.0
1087fa1066bc092b4ee546edb82b1f97,1.0,1.0,1.0,2474.0
10c55e340880ffbdba9cbd7d2a1e1572,0.0,1.0,0.0,285.0
1140e05ba561d7308c7868a120db8af8,1.0,1.0,1.0,6715.0
1152ad9aa494373443828664c73d193e,1.0,1.0,1.0,4259.0
1169e4a9b8791b0ba26c062c610fed24,0.0,0.0,1.0,179.0
119ebfc49e2c98ea4cc8c4a0490d082d,0.0,1.0,1.0,890.0
11a11e54d0ae5418623a4a5c85f7f246,0.0,1.0,0.0,3.0
11da3cddaa700afe31f2be288a537c6a,0.0,1.0,0.0,14.0
1201c047a448371146b95acac7c3554a,0.0,1.0,1.0,501.0
122d95bde3a07e9cb06d950f0ebc1b26,1.0,0.0,0.0,7.0
1282e4150f218f29380df8e6b18464f8,0.0,1.0,0.0,10.0
12a0cd314c18f1fb0a0ea5b8743fc3cb,1.0,0.0,0.0,4.0
12d1b26de0d44ae8caae2b89055dd542,0.0,0.0,1.0,4.0
12d3e0a57779315375af7d47a9e4d90d,0.0,1.0,1.0,555.0
12ea0235734b7097da2da27edfe739cf,0.0,1.0,0.0,8.0
1307ca2243c7c2a981e79c7aa61f2367,0.0,1.0,0.0,2.0
1313718a9f3be036aadbfc70cf1b4ee6,0.0,0.0,1.0,2.0
1324c5a5368a6c49a13b16e0962eab57,0.0,1.0,0.0,2.0
133b3055a4d08c4a6a08427673aa24a6,0.0,1.0,0.0,18.0
13422e7c32e87c0ff478e37a90dedbeb,0.0,1.0,1.0,2318.0
13464f6e80ba89bdf797b9a6508515de,0.0,0.0,1.0,66.0
135c08b1eac1d9910f46ebaa5bd002ed,0.0,1.0,0.0,2.0
13c192d50cff7e65ab17657c4769d790,0.0,1.0,0.0,34.0
13dae961d83b5b7ae5f0fea0194b8149,0.0,1.0,1.0,274.0
13dfac35868cbecafb01a4f8564bc0b8,1.0,1.0,1.0,530.0
14357804e85b082cbdf8a6ef9a68e674,0.0,1.0,1.0,92.0
1456ed4162ba9c260c19da6b2d924673,1.0,1.0,1.0,6961.0
1489aa8588508a765fa17ca2f931325f,0.0,0.0,1.0,6.0
148f732ce3ab8324dcb497a845831ea3,0.0,0.0,1.0,2.0
1496cd5ce1a0650933d8f454ff7c700d,1.0,1.0,1.0,448.0
14a68b6a591aa55e2d0f081e59ed8334,1.0,0.0,0.0,66.0
14b8ab9212e543e02aa5f8d844d3cf11,0.0,1.0,1.0,17.0
14c15f4ce038fd863ff9685e1330655f,1.0,1.0,1.0,3097.0
14e686d26a331cb38a93a3df90db212f,0.0,1.0,1.0,1864.0
